setting лж08513,120,2020-06-10 00:00:00,2020-06-10 02:00:00
running лж08513,60,2020-06-10 02:00:00,2020-06-10 03:00:00
KR/00487 лж08513,476.0,2020-06-10 03:00:00,2020-06-10 10:56:00
Pr рн-1,21.0,2020-06-10 10:56:00,2020-06-10 11:17:00
M рн-1,33.0,2020-06-10 11:17:00,2020-06-10 11:50:00
Pr рн-2,78.0,2020-06-10 11:50:00,2020-06-10 13:08:00
KR/00487 лж08513,11582.0,2020-06-10 13:08:00,2020-06-18 14:10:00
withdrawal лж08513,60,2020-06-18 14:10:00,2020-06-18 15:10:00
setting лж08513,120,2020-06-18 15:10:00,2020-06-18 17:10:00
running лж08513,120,2020-06-18 17:10:00,2020-06-18 17:50:00
RU/00122 лж08496,1113.0,2020-06-18 17:50:00,2020-06-19 12:23:00
M рн-1,33.0,2020-06-19 12:23:00,2020-06-19 12:56:00
Pr рн-2,60.0,2020-06-19 12:56:00,2020-06-19 13:56:00
setting рн-2,120,2020-06-28 12:26:00,2020-06-28 14:26:00
running рн-2,120,2020-06-28 14:26:00,2020-06-28 15:06:00
RU/00127 лж08496,410.0,2020-06-28 15:06:00,2020-06-28 21:56:00
Pr рн-1,15.0,2020-06-28 21:56:00,2020-06-28 22:11:00
setting рн-1,120,2020-06-30 11:05:00,2020-06-30 13:05:00
running рн-1,120,2020-06-30 13:05:00,2020-06-30 13:45:00
RU/00127 лж08496,189.0,2020-06-30 13:45:00,2020-06-30 16:54:00
running лж08496,120,2020-06-30 16:54:00,2020-06-30 17:34:00
RU/00127 лж08496,189.0,2020-06-30 17:34:00,2020-06-30 20:43:00
running лж08496,120,2020-06-30 20:43:00,2020-06-30 21:23:00
RU/00127 лж08496,189.0,2020-06-30 21:23:00,2020-07-01 00:32:00
withdrawal лж08496,60,2020-07-01 00:32:00,2020-07-01 01:32:00
setting лж08496,120,2020-07-01 01:32:00,2020-07-01 03:32:00
running лж08496,120,2020-07-01 03:32:00,2020-07-01 04:32:00
KR/00327 лж06750,444.0,2020-07-01 04:32:00,2020-07-01 11:56:00
Pr рн-2хс,480.0,2020-07-01 11:56:00,2020-07-01 19:56:00
Pr рн-1,21.0,2020-07-01 19:56:00,2020-07-01 20:17:00
M рн-1,33.0,2020-07-01 20:17:00,2020-07-01 20:50:00
KR/00327 лж06750,882.0,2020-07-01 20:50:00,2020-07-02 11:32:00
withdrawal лж06750,60,2020-07-02 11:32:00,2020-07-02 12:32:00
setting лж06750,120,2020-07-02 12:32:00,2020-07-02 14:32:00
running лж06750,120,2020-07-02 14:32:00,2020-07-02 15:12:00
RU/00122 лж08496,238.0,2020-07-02 15:12:00,2020-07-02 19:10:00
running лж08496,120,2020-07-02 19:10:00,2020-07-02 19:50:00
RU/00126 лж08496,156.0,2020-07-02 19:50:00,2020-07-02 22:26:00
Pr рн-1,15.0,2020-07-02 22:26:00,2020-07-02 22:41:00
setting рн-1,70,2020-08-09 00:06:00,2020-08-09 01:16:00
running рн-1,70,2020-08-09 01:16:00,2020-08-09 02:16:00
KR/00164 лж05190,1420.0,2020-08-09 02:16:00,2020-08-10 01:56:00
Pr рн-2хс,480.0,2020-08-10 01:56:00,2020-08-10 09:56:00
M рн-2,90.0,2020-08-10 09:56:00,2020-08-10 11:26:00
KR/00164 лж05190,4890.0,2020-08-10 11:26:00,2020-08-13 20:56:00
withdrawal лж05190,40,2020-08-13 20:56:00,2020-08-13 21:36:00
setting лж05190,120,2020-08-13 21:36:00,2020-08-13 23:36:00
running лж05190,120,2020-08-13 23:36:00,2020-08-14 00:16:00
RU/00122 лж08496,238.0,2020-08-14 00:16:00,2020-08-14 04:14:00
running лж08496,120,2020-08-14 04:14:00,2020-08-14 04:54:00
RU/00122 лж08496,238.0,2020-08-14 04:54:00,2020-08-14 08:52:00
running лж08496,120,2020-08-14 08:52:00,2020-08-14 09:32:00
RU/00127 лж08496,189.0,2020-08-14 09:32:00,2020-08-14 12:41:00
withdrawal лж08496,60,2020-08-14 12:41:00,2020-08-14 13:41:00
setting лж08496,70,2020-08-14 13:41:00,2020-08-14 14:51:00
running лж08496,70,2020-08-14 14:51:00,2020-08-14 15:51:00
KR/00164 лж05190,6310.0,2020-08-14 15:51:00,2020-08-19 01:01:00
running лж05190,70,2020-08-19 01:01:00,2020-08-19 02:01:00
KR/00164 лж05190,6310.0,2020-08-19 02:01:00,2020-08-23 11:11:00
withdrawal лж05190,40,2020-08-23 11:11:00,2020-08-23 11:51:00
setting лж05190,120,2020-08-23 11:51:00,2020-08-23 13:51:00
running лж05190,120,2020-08-23 13:51:00,2020-08-23 14:31:00
RU/00126 лж08496,145.0,2020-08-23 14:31:00,2020-08-23 16:56:00
withdrawal лж08496,60,2020-08-23 16:56:00,2020-08-23 17:56:00
