setting лж05190,70,2020-06-10 00:00:00,2020-06-10 01:10:00
running лж05190,60,2020-06-10 01:10:00,2020-06-10 02:10:00
KR/00320 лж05190,1306.0,2020-06-10 02:10:00,2020-06-10 23:56:00
M рн-2,90.0,2020-06-10 23:56:00,2020-06-11 01:26:00
M рн-3,240.0,2020-06-11 01:26:00,2020-06-11 05:26:00
Pr рн-2,42.0,2020-06-11 05:26:00,2020-06-11 06:08:00
Pr рн-1,21.0,2020-06-11 06:08:00,2020-06-11 06:29:00
setting рн-1,70,2020-06-23 13:05:00,2020-06-23 14:15:00
running рн-1,70,2020-06-23 14:15:00,2020-06-23 15:15:00
KR/00502 лж05190,1001.0,2020-06-23 15:15:00,2020-06-24 07:56:00
M рн-1,33.0,2020-06-24 07:56:00,2020-06-24 08:29:00
Pr рн-1,21.0,2020-06-24 08:29:00,2020-06-24 08:50:00
KR/00502 лж05190,4955.0,2020-06-24 08:50:00,2020-06-27 19:25:00
running лж05190,70,2020-06-27 19:25:00,2020-06-27 20:25:00
KR/00502 лж05190,5956.0,2020-06-27 20:25:00,2020-07-01 23:41:00
running лж05190,70,2020-07-01 23:41:00,2020-07-02 00:41:00
KR/00502 лж05190,5956.0,2020-07-02 00:41:00,2020-07-06 03:57:00
running лж05190,70,2020-07-06 03:57:00,2020-07-06 04:57:00
KR/00502 лж05190,5956.0,2020-07-06 04:57:00,2020-07-10 08:13:00
withdrawal лж05190,40,2020-07-10 08:13:00,2020-07-10 08:53:00
setting лж05190,120,2020-07-10 08:53:00,2020-07-10 10:53:00
running лж05190,120,2020-07-10 10:53:00,2020-07-10 11:33:00
RU/00121 лж08495,1289.0,2020-07-10 11:33:00,2020-07-11 09:02:00
M рн-1,33.0,2020-07-11 09:02:00,2020-07-11 09:35:00
Pr рн-1,15.0,2020-07-11 09:35:00,2020-07-11 09:50:00
setting рн-1,70,2020-07-17 00:38:00,2020-07-17 01:48:00
running рн-1,70,2020-07-17 01:48:00,2020-07-17 02:48:00
